movie_name,file_name,goodforairplanes
Seventh Son,Seventh_Son,1
2_States,2_States,0
Welcome to Me,Welcome_to_Me,0
The Judge,The_Judge,0
Transformers  Age of Extinction,Transformers__Age_of_Extinction,0
The Normal Heart,The_Normal_Heart,1
The Phantom Tollbooth,The_Phantom_Tollbooth,1
Andaz Apna Apna,Andaz_Apna_Apna,1
Hotel Transylvania,Hotel_Transylvania,1
The Matrix,The_Matrix,1
Into the Wild,Into_the_Wild,1
Jerry Maguire,Jerry_Maguire,0
Lord of the Flies,Lord_of_the_Flies,0
The Great Gatsby,The_Great_Gatsby,0
Inherent Vice,Inherent_Vice,0
Donnie Darko,Donnie_Darko,1
Anna Karenina,Anna_Karenina,1
American Gangster,American_Gangster,1
Full Metal Jacket,Full_Metal_Jacket,1
Words and Pictures,Words_and_Pictures,1
John Wick,John_Wick,1
The Fault in Our Stars,The_Fault_in_Our_Stars,0
The Cobbler,The_Cobbler,0
The Hobbit  The Desolation of Smaug,The_Hobbit__The_Desolation_of_Smaug,1
Jack Reacher,Jack_Reacher,0
The Book of Life,The_Book_of_Life,1
Let's Be Cops,Let's_Be_Cops,1
A Single Man,A_Single_Man,1
Casino Royale,Casino_Royale,1
Ode to My Father,Ode_to_My_Father,1
Dirty Dancing,Dirty_Dancing,1
V for Vendetta,V_for_Vendetta,0
Brother Bear,Brother_Bear,0
Babar  The Movie,Babar__The_Movie,0
The Parent Trap,The_Parent_Trap,0
Bros Before Hos,Bros_Before_Hos,1
Moulin Rouge!,Moulin_Rouge!.mp4,1
Total Recall,Total_Recall,1
American Pie,American_Pie,1
Shakespeare in Love,Shakespeare_in_Love,1
Bobby Jasoos,Bobby_Jasoos,1
Boogie Nights,Boogie_Nights,0
Excuse My French,Excuse_My_French,0
Chef,Chef,0
Le Samourai,Le_Samourai,0
The Lizzie McGuire Movie,The_Lizzie_McGuire_Movie,1
Khumba,Khumba,1
A Fish Called Wanda,A_Fish_Called_Wanda,1
Homies,Homies,1
Mulan,Mulan,1
The Maze Runner,The_Maze_Runner,1
Nightcrawler,Nightcrawler,0
Elsa   Fred,Elsa___Fred,0
RED,RED,0
Khoobsurat,Khoobsurat,0
Interstellar,Interstellar,1
Night at the Museum  Secret of the Tomb,Night_at_the_Museum__Secret_of_the_Tomb,1
The Hunger Games,The_Hunger_Games,1
The Babadook,The_Babadook,1
Big Hero 6,Big_Hero_6,1
The Imitation Game,The_Imitation_Game,1
Looney Tunes  Back in Action,Looney_Tunes__Back_in_Action,0
The Hunger Games  Catching Fire,The_Hunger_Games__Catching_Fire,0
Hook,Hook,0
Exodus  Gods and Kings,Exodus__Gods_and_Kings,0
Invincible,Invincible,1
Some Like It Hot,Some_Like_It_Hot,1
The Reader,The_Reader,1
The Birdcage,The_Birdcage,1
The Theory of Everything,The_Theory_of_Everything,1
Black Swan,Black_Swan,1
Maine Pyar Kiya,Maine_Pyar_Kiya,0
Still Alice,Still_Alice,0
My Week with Marilyn,My_Week_with_Marilyn,0
Bhoothnath Returns,Bhoothnath_Returns,0
Grand Piano,Grand_Piano,1
Into the Woods,Into_the_Woods,1
The Blair Witch Project,The_Blair_Witch_Project,1
Monsters University,Monsters_University,1
Mr. Go,Mr._Go,1
This Is Where I Leave You,This_Is_Where_I_Leave_You,1
The Bourne Legacy,The_Bourne_Legacy,0
Wild Tales,Wild_Tales,0
The Dark Knight,The_Dark_Knight,0
Predestination,Predestination,0
Robin Hood,Robin_Hood,1
A Million Ways to Die in the West,A_Million_Ways_to_Die_in_the_West,1
Drive,Drive,0
Bronson,Bronson,0
The Last Days on Mars,The_Last_Days_on_Mars,0
The Reluctant Dragon,The_Reluctant_Dragon,0
Live Nude Girls,Live_Nude_Girls,0
Pulp Fiction,Pulp_Fiction,0
Perez,Perez,0
A Goofy Movie,A_Goofy_Movie,0
Mean Girls,Mean_Girls,0
