movie_name,file_name,goodforairplanes
Belle de Jour,Belle_de_Jour,1
Big Game,Big_Game,0
Birdman Or (The Unexpected Virtue of Ignorance),Birdman__Or_(The_Unexpected_Virtue_of_Ignorance),1
Dances with Wolves,Dances_with_Wolves,0
Dilwale Dulhania Le Jayenge,Dilwale_Dulhania_Le_Jayenge,0
Dorsvloer vol confetti,Dorsvloer_vol_confetti,1
Dumbo,Dumbo,1
Gone Girl,Gone_Girl,1
Good People,Good_People,1
Guardians of the Galaxy,Guardians_of_the_Galaxy,0
Hercules,Hercules,1
Homeland,Homeland,1
How to Train Your Dragon 2,How_to_Train_Your_Dragon_2,1
Hum Aapke Hain Koun...!,Hum_Aapke_Hain_Koun...!,0
Humpty Sharma Ki Dulhania,Humpty_Sharma_Ki_Dulhania,1
Interview with the Vampire The Vampire Chronicles,Interview_with_the_Vampire__The_Vampire_Chronicles,0
John Tucker Must Die,John_Tucker_Must_Die,0
Katalin Varga,Katalin_Varga,1
Kick-Ass 2,Kick-Ass_2,0
La Camioneta The Journey of One American School Bus,La_Camioneta__The_Journey_of_One_American_School_Bus,0
Loft,Loft,1
Million Dollar Arm,Million_Dollar_Arm,0
Miss Sixty,Miss_Sixty,1
Mommie Dearest,Mommie_Dearest,0
My Own Private Idaho,My_Own_Private_Idaho,0
Oorlogswinter,Oorlogswinter,0
Pocahontas,Pocahontas,1
Quantum of Solace,Quantum_of_Solace,1
School of Rock,School_of_Rock,0
Silver Linings Playbook,Silver_Linings_Playbook,1
Sleepy Hollow,Sleepy_Hollow,1
Soof,Soof,1
The Devil Wears Prada,The_Devil_Wears_Prada,0
The Equalizer,The_Equalizer,0
The Expendables 3,The_Expendables_3,1
The Great Escape,The_Great_Escape,0
The Hundred-Foot Journey,The_Hundred-Foot_Journey,1
The Inglorious Bastards,The_Inglorious_Bastards,1
The Shawshank Redemption,The_Shawshank_Redemption,1
The Voices,The_Voices,0
Thor The Dark World,Thor__The_Dark_World,0
Titanic,Titanic,0
Trash,Trash,1
Unbroken,Unbroken,0
Verliefd op Ibiza,Verliefd_op_Ibiza,0
Wet Hot American Summer,Wet_Hot_American_Summer,1
What We Do in the Shadows,What_We_Do_in_the_Shadows,1
Who Framed Roger Rabbit,Who_Framed_Roger_Rabbit,0
Yves Saint Laurent,Yves_Saint_Laurent,0
Zombieland,Zombieland,0
