movie_name,file_name,goodforairplanes
10.000 Km,10.000_Km,1
12 Years a Slave,12_Years_a_Slave,1
2 States,2_States,1
21 Jump Street,21_Jump_Street,1
A Bug's Life,A_Bug's_Life,1
A Little Chaos,A_Little_Chaos,0
A Most Wanted Man,A_Most_Wanted_Man,1
A Simple Life,A_Simple_Life,1
A_Fish_Called_Wanda,A_Fish_Called_Wanda,1
Aanmodderfakker,Aanmodderfakker,1
Alexander,Alexander,1
Alexander and the Terrible Horrible No Good Very Bad Day,Alexander_and_the_Terrible_Horrible_No_Good_Very_Bad_Day,1
Alice in Wonderland,Alice_in_Wonderland,0
American Sniper,American_Sniper,0
Anastasia,Anastasia,1
And So It Goes,And_So_It_Goes,1
Antz,Antz,1
Avatar,Avatar,0
Bad News Bears,Bad_News_Bears,1
Banklady,Banklady,1
Beetlejuice,Beetlejuice,1
Begin Again,Begin_Again,1
Bewakoofiyaan,Bewakoofiyaan,1
Bhoothnath,Bhoothnath,0
Billy Elliot,Billy_Elliot,1
Blended,Blended,1
Blow Out,Blow_Out,0
Bride Flight,Bride_Flight,1
Bridges of Sarajevo,Bridges_of_Sarajevo,0
Burlesque,Burlesque,0
Captain America The Winter Soldier,Captain_America__The_Winter_Soldier,0
Cascadeur,Cascadeur,0
Charlie and the Chocolate Factory,Charlie_and_the_Chocolate_Factory,1
Clash of the Titans,Clash_of_the_Titans,0
Contact,Contact,1
Divergent,Divergent,0
Django Unchained,Django_Unchained,0
Dolphin Tale 2,Dolphin_Tale_2,1
Dracula Untold,Dracula_Untold,0
Dumb and Dumber To,Dumb_and_Dumber_To,1
Edge of Tomorrow,Edge_of_Tomorrow,1
Fargo,Fargo,0
Fast Five,Fast_Five,0
Finding Fanny,Finding_Fanny,1
Finding Nemo,Finding_Nemo,1
Flying Home,Flying_Home,0
Foxcatcher,Foxcatcher,1
From A to B,From_A_to_B,1
Frozen,Frozen,1
Fury,Fury,0
Godzilla,Godzilla,0
Good Morning Vietnam,Good_Morning_Vietnam,0
Good Will Hunting,Good_Will_Hunting,1
Gooische vrouwen,Gooische_vrouwen,1
Gran Torino,Gran_Torino,1
Groundhog Day,Groundhog_Day,1
Gunday,Gunday,0
Happy New Year,Happy_New_Year,0
Harry Potter and the Deathly Hallows Part 2,Harry_Potter_and_the_Deathly_Hallows__Part_2,0
Heaven Knows What,Heaven_Knows_What,1
Hector and the Search for Happiness,Hector_and_the_Search_for_Happiness,1
Horrible Bosses 2,Horrible_Bosses_2,1
Hungry Hearts,Hungry_Hearts,0
I Am Big Bird The Caroll Spinney Story,I_Am_Big_Bird__The_Caroll_Spinney_Story,0
In Her Shoes,In_Her_Shoes,1
Iron Man 2,Iron_Man_2,0
Iron Man 3,Iron_Man_3,0
Ironclad,Ironclad,0
Justin Bieber Never Say Never,Justin_Bieber__Never_Say_Never,0
Karan Arjun,Karan_Arjun,1
Kick-Ass,Kick-Ass,0
Kingsman The Secret Service,Kingsman__The_Secret_Service,0
Kundo Age of the Rampant,Kundo__Age_of_the_Rampant,0
Kurt Cobain Montage of Heck,Kurt_Cobain__Montage_of_Heck,1
La foresta di ghiaccio,La_foresta_di_ghiaccio,1
La Vie en Rose,La_Vie_en_Rose,0
Legally Blonde,Legally_Blonde,1
Leviathan,Leviathan,1
